key,Business Unit,Fund Rollup Level 1,Fund Rollup Level 2,Donor,Donor Desc,Donor Short Desc,Donor Level 3,Donor Level 3 Descr,Donor Level 4,Donor Level 4 Descr,Contribution Revenue
1,UNDP1,DP_RR,CORE,-,-,-,-,-,-,-,"3,576,713"
2,UNDP1,DP_RR,CORE,12,UNITED NATIONS DEVELOPMENT PRO,UNDP,UN_AGENCIES,UN Agencies,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,"-307,442"
3,UNDP1,DP_RR,CORE,28,UN Office on Drugs and Crime,UNDCP,UN_AGENCIES,UN Agencies,UNODC,AGY_UN INTERNATIONAL DRUG CONT,"1,391"
4,UNDP1,DP_RR,CORE,46,GOVERNMENT OF ALGERIA,ALG,DZA,Algeria,DZA_GOVT,Algeria Government,"-10,000"
5,UNDP1,DP_RR,CORE,48,GOVERNMENT OF ANDORRA,AND,AND,Andorra,AND_GOVT,Andorra Government,"-13,692"
6,UNDP1,DP_RR,CORE,55,GOVERNMENT OF AUSTRALIA,AUL,AUS,Australia,AUS_GOVT,Australia Government,"-36,212,579"
7,UNDP1,DP_RR,CORE,56,GOVERNMENT OF AUSTRIA,AUS,AUT,Austria,AUT_GOVT,Austria Government,"-2,149,660"
8,UNDP1,DP_RR,CORE,58,GOVERNMENT OF BAHRAIN,BAH,BHR,Bahrain,BHR_GOVT,Bahrain Government,"-56,000"
9,UNDP1,DP_RR,CORE,61,GOVERNMENT OF BELGIUM,BEL,BEL,Belgium,BEL_GOVT,Belgium Government,"-23,661,270"
10,UNDP1,DP_RR,CORE,64,GOVERNMENT OF BANGLADESH,BGD,BGD,Bangladesh,BGD_GOVT,Bangladesh Government,"-400,000"
11,UNDP1,DP_RR,CORE,66,GOVERNMENT OF BHUTAN,BHU,BTN,Bhutan,BTN_GOVT,Bhutan Government,"-31,500"
12,UNDP1,DP_RR,CORE,80,GOVERNMENT OF CZECH REPUBLIC,CEH,CZE,Czech Republic,CZE_GOVT,Czech Republic Government,"-44,209"
13,UNDP1,DP_RR,CORE,82,GOVERNMENT OF CHILE,CHI,CHL,Chile,CHL_GOVT,Chile Government,"-150,000"
14,UNDP1,DP_RR,CORE,84,GOVERNMENT OF CAMBODIA,CMB,KHM,Cambodia,KHM_GOVT,Cambodia Government,"-10,000"
15,UNDP1,DP_RR,CORE,88,GOVERNMENT OF COSTA RICA,COS,CRI,Costa Rica,CRI_GOVT,Costa Rica Government,"-226,570"
16,UNDP1,DP_RR,CORE,89,GOVERNMENT OF CHINA,CPR,CHN,People's Republic of China,CHN_GOVT,People's Republic of China Gov,"-3,800,000"
17,UNDP1,DP_RR,CORE,95,GOVERNMENT OF DENMARK,DEN,DNK,Denmark,DNK_GOVT,Denmark Government,"-60,142,154"
18,UNDP1,DP_RR,CORE,105,"GOVERNMENT OF ESTONIA, REPUBLI",EST,EST,Republic of Estonia,EST_GOVT,Republic of Estonia Government,"-137,306"
19,UNDP1,DP_RR,CORE,110,GOVERNMENT OF FINLAND,FIN,FIN,Finland,FIN_GOVT,Finland Government,"-30,261,348"
20,UNDP1,DP_RR,CORE,112,GOVERNMENT OF FRANCE,FRA,FRA,France,FRA_GOVT,France Government,"-18,569,464"
21,UNDP1,DP_RR,CORE,117,GOVERNMENT OF GERMANY,GER,DEU,Germany,DEU_GOVT,Germany Government,"-29,108,235"
22,UNDP1,DP_RR,CORE,124,GOVERNMENT OF GUYANA,GUY,GUY,Guyana,GUY_GOVT,Guyana Government,"-9,927"
23,UNDP1,DP_RR,CORE,131,GOVERNMENT OF INDIA,IND,IND,India,IND_GOVT,India Government,"-4,548,069"
24,UNDP1,DP_RR,CORE,132,GOVERNMENT OF INDONESIA,INS,IDN,Indonesia,IDN_GOVT,Indonesia Government,"-55,000"
25,UNDP1,DP_RR,CORE,134,GOVERNMENT OF IRELAND,IRE,IRL,Ireland,IRL_GOVT,Ireland Government,"-11,691,884"
26,UNDP1,DP_RR,CORE,135,GOVERNMENT OF IRAQ,IRQ,IRQ,Iraq,IRQ_GOVT,Iraq Government,"-500,000"
27,UNDP1,DP_RR,CORE,136,GOVERNMENT OF ISRAEL,ISR,ISR,Israel,ISR_GOVT,Israel Government,"-100,000"
28,UNDP1,DP_RR,CORE,137,GOVERNMENT OF ITALY,ITA,ITA,Italy,ITA_GOVT,Italy Government,"-4,447,268"
29,UNDP1,DP_RR,CORE,141,GOVERNMENT OF JAPAN,JPN,JPN,Japan,JPN_GOVT,Japan Government,"-80,472,261"
30,UNDP1,DP_RR,CORE,145,GOVERNMENT OF KUWAIT,KWT,KWT,Kuwait,KWT_GOVT,Kuwait Government,"-570,000"
31,UNDP1,DP_RR,CORE,152,GOVERNMENT OF LIECHTENSTEIN,LIE,LIE,Liechtenstein,LIE_GOVT,Liechtenstein Government,"-27,716"
32,UNDP1,DP_RR,CORE,155,GOVERNMENT OF LUXEMBOURG,LUX,LUX,Luxembourg,LUX_GOVT,Luxembourg Government,"-3,605,442"
33,UNDP1,DP_RR,CORE,157,GOVERNMENT OF MALAYSIA,MYS,MYS,Malaysia,MYS_GOVT,Malaysia Government,"-770,000"
34,UNDP1,DP_RR,CORE,172,GOVERNMENT OF MOROCCO,MOR,MAR,Morocco,MAR_GOVT,Morocco Government,"-122,399"
35,UNDP1,DP_RR,CORE,174,GOVERNMENT OF MOZAMBIQUE,MOZ,MOZ,Mozambique,MOZ_GOVT,Mozambique Government,"-5,000"
36,UNDP1,DP_RR,CORE,175,GOVERNMENT OF MYANMAR,MYA,MMR,Myanmar,MMR_GOVT,Myanmar Government,"-2,144"
37,UNDP1,DP_RR,CORE,182,GOVERNMENT OF NETHERLANDS,NET,NLD,Netherlands,NLD_GOVT,Netherlands Government,"-36,764,706"
38,UNDP1,DP_RR,CORE,184,GOVERNMENT OF NICARAGUA,NIC,NIC,Nicaragua,NIC_GOVT,Nicaragua Government,"-13,584"
39,UNDP1,DP_RR,CORE,187,GOVERNMENT OF NORWAY,NOR,NOR,Norway,NOR_GOVT,Norway Government,"-112,211,221"
40,UNDP1,DP_RR,CORE,188,GOVERNMENT OF NEW ZEALAND,NZE,NZL,New Zealand,NZL_GOVT,New Zealand Government,"-6,552,007"
41,UNDP1,DP_RR,CORE,190,GOVERNMENT OF PAKISTAN,PAK,PAK,Pakistan,PAK_GOVT,Pakistan Government,"-255,790"
42,UNDP1,DP_RR,CORE,192,GOVERNMENT OF PANAMA,PAN,PAN,Panama,PAN_GOVT,Panama Government,"-148,740"
43,UNDP1,DP_RR,CORE,199,GOVERNMENT OF PORTUGAL,POR,PRT,Portugal,PRT_GOVT,Portugal Government,"-50,000"
44,UNDP1,DP_RR,CORE,204,GOVERNMENT OF REPUBLIC OF KORE,ROK,KOR,Republic of Korea,KOR_GOVT,Republic of Korea Government,"-6,384,000"
