country,id,name
AFG,44,Afghanistan
ALB,45,Albania
DZA,46,Algeria
AGO,49,Angola
AIA,50,Anguilla
ANT,51,Antigua and Barbuda
ARG,1013,Argentina
ARM,1059,Armenia
AUS,10813,Australia
AUT,11266,Austria
AZE,1060,Azerbaijan
BHR,11376,Bahrain
BRB,1081,Barbados
BEL,10843,Belgium
BEN,62,Benin
BMU,63,Bermuda
BOL,1111,Bolivia
BIH,1652,Bosnia and Herzegovina
BWA,70,Botswana
BRA,1053,Brazil
VGB,1083,British Virgin Islands
BRN,72,Brunei Darussalam
BGR,10993,Bulgaria
BFA,68,Burkina Faso
BDI,60,Burundi
CAN,10281,Canada
CPV,92,Cape Verde
CYM,1085,Cayman Islands
TCD,81,Chad
CHL,1017,Chile
COL,1020,Colombia
COM,86,Comoros
COG,200,Congo
COK,83,Cook Islands
CIV,138,Cote D'Ivoire
HRV,10901,Croatia
CYP,93,Cyprus
CZE,80,Czech Republic
ZAR,259,Democratic Republic of Congo
DNK,11111,Denmark
DJI,96,Djibouti
DMA,1086,Dominica
DOM,98,Dominican Republic
TLS,11139,EAST TIMOR
ECU,10125,Ecuador
EGY,101,Egypt
SLV,102,El Salvador
GNQ,103,Equatorial Guinea
ERI,104,Eritrea
FIN,110,Finland
FRA,11074,France
FAN,107,French Antilees
PYF,111,French Polynesia
GAB,113,Gabon
GMB,114,Gambia
DEU,10046,Germany
GHA,1011,Ghana
GRC,10998,Greece
GRD,120,Grenada
GTM,121,Guatemala
GIN,123,Guinea
GUY,124,Guyana
HTI,1090,Haiti
HND,1047,Honduras
HKG,127,Hong Kong
HUN,129,Hungary
ISL,10994,Iceland
IND,131,India
IDN,132,Indonesia
IRQ,135,Iraq
IRL,10605,Ireland
IRN,133,Islamic Republic of Iran
ISR,136,Israel
ITA,10795,Italy
JAM,1091,Jamaica
JPN,10736,Japan
JOR,140,Jordan
KAZ,142,Kazakhstan
KEN,143,Kenya
KOS,10284,Kosovo
KWT,145,Kuwait
KGZ,146,Kyrgyzstan
LAO,147,Laos
LBN,10148,Lebanon
LSO,150,Lesotho
LBR,153,Liberia
LBY,11788,Libyan Arab Jamahiriya
LIE,152,Liechtenstein
LTU,1253,Lithuania
LUX,155,Luxembourg
MKD,163,Macedonia
MDG,156,Madagascar
MWI,168,Malawi
MYS,11601,Malaysia
MDV,164,Maldives
MLI,167,Mali
MHL,160,Marshal Islands
MRT,162,Mauritania
MUS,10370,Mauritius
MEX,1042,Mexico
MDA,1068,Moldova
MCO,169,Monaco
MNG,171,Mongolia
MNE,10472,MONTENEGRO
MSR,173,Montserrat
MAR,172,Morocco
NAM,10684,Namibia
NRU,178,Nauru
NLD,10903,Netherlands
NAN,177,Netherlands Antilles
NZL,10279,New Zealand
NIC,184,Nicaragua
NER,181,Niger
NGA,10137,Nigeria
NOR,10425,Norway
PSE,191,Occupied Palestine
PAK,1049,Pakistan
PLW,241,Palau
PAN,1070,Panama
PNG,197,Papua New Guinea
PRY,1040,Paraguay
CHN,10392,People's Republic of China
PER,1071,Peru
PHL,195,Philippines
POL,198,Poland
PRT,199,Portugal
QAT,202,Qatar
CMR,85,Republic of Cameroon
EST,105,Republic of Estonia
GEO,1064,Republic of Georgia
KOR,10712,Republic of Korea
ROM,11093,Romania
RUS,10135,Russian Federation
KNA,1093,Saint Kitts and Nevis
LCA,1056,Saint Lucia
STP,225,Sao Tome and Principe
SAU,210,Saudi Arabia
SEN,211,Senegal
SRB,11336,SERBIA
SYC,212,Seychelles
SVK,10907,Slovak Republic
SVN,229,Slovenia
SOM,219,Somalia
ZAF,208,South Africa
ESP,10216,Spain
LKA,221,Sri Lanka
SDN,227,Sudan
SUR,1095,Suriname
SWZ,230,Swaziland
SWE,10987,Sweden
CHE,10282,Switzerland
SYR,10729,Syrian Arab Republic
TJK,234,Tajikistan
THA,11645,Thailand
FSM,166,The Federated States of Micron
TGO,237,Togo
TTO,10327,Trinidad and Tobago
TUN,243,Tunisia
TUR,10697,Turkey
TKM,10358,Turkmenistan
TCA,1102,Turks and Caicos
UGA,1795,Uganda
UKR,10405,Ukraine
ARE,11337,United Arab Emirates
GBR,10314,United Kingdom
TZA,251,United Republic of Tanzania
USA,10480,United States of America
URY,1034,Uruguay
UZB,1012,Uzbekistan
VEN,1041,Venezuela
VNM,256,Viet Nam
YEM,257,Yemen
ZWE,1099,Zimbabwe
EU,280,European Union
